// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:03 (3.75 sec)   *****
// ***** Failed to build in Parallel, switching to sequential build   *****
// ***** Done, took 00:00:04 (4.68 sec)   *****
// Found 6 benchmarks:
//   Md5VsSha256.Sha256: Job-AZMYKM(Toolchain=InProcessEmitToolchain)
//   Md5VsSha256.Md5: Job-AZMYKM(Toolchain=InProcessEmitToolchain)
//   Md5VsSha256.Sha256: .NET Core 3.1(Runtime=.NET Core 3.1)
//   Md5VsSha256.Md5: .NET Core 3.1(Runtime=.NET Core 3.1)
//   Md5VsSha256.Sha256: .NET Core 5.0(Runtime=.NET Core 5.0)
//   Md5VsSha256.Md5: .NET Core 5.0(Runtime=.NET Core 5.0)

// **************************
// Benchmark: Md5VsSha256.Sha256: Job-AZMYKM(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1
// ! Failed to set up priority High for process System.Diagnostics.Process (dotnet). Make sure you have the right permissions. Message: Permission denied

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-AZMYKM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 306717.00 ns, 306.7170 us/op
WorkloadJitting  1: 1 op, 713569.00 ns, 713.5690 us/op

OverheadJitting  2: 16 op, 806028.00 ns, 50.3768 us/op
WorkloadJitting  2: 16 op, 1529426.00 ns, 95.5891 us/op

WorkloadPilot    1: 16 op, 473050.00 ns, 29.5656 us/op
WorkloadPilot    2: 32 op, 908010.00 ns, 28.3753 us/op
WorkloadPilot    3: 64 op, 1808964.00 ns, 28.2651 us/op
WorkloadPilot    4: 128 op, 3632767.00 ns, 28.3810 us/op
WorkloadPilot    5: 256 op, 7251581.00 ns, 28.3265 us/op
WorkloadPilot    6: 512 op, 14694692.00 ns, 28.7006 us/op
WorkloadPilot    7: 1024 op, 29834490.00 ns, 29.1352 us/op
WorkloadPilot    8: 2048 op, 58843927.00 ns, 28.7324 us/op
WorkloadPilot    9: 4096 op, 118733823.00 ns, 28.9877 us/op
WorkloadPilot   10: 8192 op, 230712320.00 ns, 28.1631 us/op
WorkloadPilot   11: 16384 op, 446179820.00 ns, 27.2327 us/op
WorkloadPilot   12: 32768 op, 918582197.00 ns, 28.0329 us/op

OverheadWarmup   1: 32768 op, 143297.00 ns, 4.3731 ns/op
OverheadWarmup   2: 32768 op, 138364.00 ns, 4.2225 ns/op
