// Validating benchmarks:
No exporters defined, results will not be persisted.
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:03 (3.43 sec)   *****
// Found 4 benchmarks:
//   MemoryDiagnoser.ToString12345: Job-YVMFWB(Toolchain=InProcessEmitToolchain)
//   MemoryDiagnoser.ToString12345Long: Job-YVMFWB(Toolchain=InProcessEmitToolchain)
//   MemoryDiagnoser.ToString12345: .NET Core 3.1(Runtime=.NET Core 3.1)
//   MemoryDiagnoser.ToString12345Long: .NET Core 3.1(Runtime=.NET Core 3.1)

// **************************
// Benchmark: MemoryDiagnoser.ToString12345: Job-YVMFWB(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1
// ! Failed to set up priority High for process System.Diagnostics.Process (dotnet). Make sure you have the right permissions. Message: Permission denied

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-YVMFWB(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 286472.00 ns, 286.4720 us/op
WorkloadJitting  1: 1 op, 263383.00 ns, 263.3830 us/op

OverheadJitting  2: 16 op, 757361.00 ns, 47.3351 us/op
WorkloadJitting  2: 16 op, 758485.00 ns, 47.4053 us/op

WorkloadPilot    1: 16 op, 9848.00 ns, 615.5000 ns/op
WorkloadPilot    2: 32 op, 3198.00 ns, 99.9375 ns/op
WorkloadPilot    3: 64 op, 4034.00 ns, 63.0312 ns/op
WorkloadPilot    4: 128 op, 6275.00 ns, 49.0234 ns/op
WorkloadPilot    5: 256 op, 10522.00 ns, 41.1016 ns/op
WorkloadPilot    6: 512 op, 19427.00 ns, 37.9434 ns/op
WorkloadPilot    7: 1024 op, 42782.00 ns, 41.7793 ns/op
WorkloadPilot    8: 2048 op, 78526.00 ns, 38.3428 ns/op
WorkloadPilot    9: 4096 op, 156128.00 ns, 38.1172 ns/op
